method,pv_level,seed,success,rmse,runtime_ms,solver,n_observed,pso_converged,pso_n_iter,pso_dH
asm_paper,0.5,900000,True,0.0009806327626526563,253.37345991283655,asm_paper_pso_ls,361,True,1,28.82916157393762
asm_paper,0.5,900001,True,0.0008750393776134667,130.7752775028348,asm_paper_pso_ls,361,True,1,20.61407257719921
asm_paper,0.5,900002,True,0.0006735090844685487,125.24521443992853,asm_paper_pso_ls,361,True,1,38.27055552045717
asm_paper,0.5,900003,True,0.002157602493126552,128.7484522908926,asm_paper_pso_ls,361,True,1,26.03279034859689
asm_paper,0.5,900004,True,0.0007852911705917011,134.29199904203415,asm_paper_pso_ls,361,True,1,35.52608225392185
asm_paper,1.0,900000,True,0.000980632762652706,86.77595481276512,asm_paper_pso_ls,361,True,1,36.51329158092886
asm_paper,1.0,900001,True,0.0008750393776132862,77.45005562901497,asm_paper_pso_ls,361,True,1,37.22156421999324
asm_paper,1.0,900002,True,0.0006735090844683945,73.82732350379229,asm_paper_pso_ls,361,True,1,45.050049810584326
asm_paper,1.0,900003,True,0.0021576024931261374,84.76002886891365,asm_paper_pso_ls,361,True,1,38.56960323465475
asm_paper,1.0,900004,True,0.0007852911705914482,75.56092366576195,asm_paper_pso_ls,361,True,1,65.7960224271202
asm_paper,2.0,900000,True,0.0009806327626526179,76.9880935549736,asm_paper_pso_ls,361,True,1,71.64223597239881
asm_paper,2.0,900001,True,0.0008750393776133899,76.51420123875141,asm_paper_pso_ls,361,True,1,103.08596359021634
asm_paper,2.0,900002,True,0.0006735090844687249,86.3547408953309,asm_paper_pso_ls,361,True,1,81.92359139871128
asm_paper,2.0,900003,True,0.0021576024931261556,75.09701419621706,asm_paper_pso_ls,361,True,1,88.72436886187344
asm_paper,2.0,900004,True,0.0007847922705685866,80.3719125688076,asm_paper_pso_ls,361,True,1,126.33849146815876
asm_paper,3.0,900000,True,0.0012424106441815664,81.17765840142965,asm_paper_pso_ls,361,True,1,108.61048352894035
asm_paper,3.0,900001,True,0.000926333759610724,115.80026242882013,asm_paper_pso_ls,361,True,2,126.60804911750712
asm_paper,3.0,900002,True,0.0006712632738157115,76.81617978960276,asm_paper_pso_ls,361,True,1,124.4936601814623
asm_paper,3.0,900003,True,0.0019855656447058715,76.19392685592175,asm_paper_pso_ls,361,True,1,124.95778028722339
asm_paper,3.0,900004,True,0.0008335083113544249,187.96298652887344,asm_paper_pso_ls,361,True,4,96.3037888438054
asm_paper,5.0,900000,True,0.001144711802897712,2526.0475296527147,asm_paper_pso_ls,361,True,64,82.03133412423206
asm_paper,5.0,900001,True,0.0008209544771521243,7007.621202617884,asm_paper_pso_ls,361,True,138,85.58088570112541
asm_paper,5.0,900002,True,0.0006059124982759,409.6644436940551,asm_paper_pso_ls,361,True,10,84.75358752651438
asm_paper,5.0,900003,True,0.025284567301994743,1256.8073021247983,asm_paper_pso_ls,361,True,33,114.33267751063134
asm_paper,5.0,900004,True,0.01372808533637145,13971.240371465683,asm_paper_pso_ls,361,False,300,140.34893388857913
asm_paper,7.0,900000,True,0.013799563003812118,2268.143548630178,asm_paper_pso_ls,361,True,57,107.26979363884007
asm_paper,7.0,900001,True,0.0008663657608223472,3492.215051315725,asm_paper_pso_ls,361,True,51,161.57399639647835
asm_paper,7.0,900002,True,0.020245262678507788,11340.163281187415,asm_paper_pso_ls,361,False,300,143.67574426348415
asm_paper,7.0,900003,True,0.0021793573041606114,2449.4431000202894,asm_paper_pso_ls,361,True,63,142.56530903232792
asm_paper,7.0,900004,True,0.0008129573338156484,10635.65031439066,asm_paper_pso_ls,361,True,139,40.149588478920556
asm_paper,10.0,900000,True,0.0011027398067308672,4381.33492320776,asm_paper_pso_ls,361,True,109,90.97109429353115
asm_paper,10.0,900001,True,0.0074548544983146555,11722.891882061958,asm_paper_pso_ls,361,False,300,108.99469985186502
asm_paper,10.0,900002,True,0.0006887183544621182,26171.70576006174,asm_paper_pso_ls,361,True,104,95.81831709544014
asm_paper,10.0,900003,True,0.023619760735504904,11724.107624962926,asm_paper_pso_ls,361,False,300,622.1219063849877
asm_paper,10.0,900004,True,0.0008651191500124645,15882.14582297951,asm_paper_pso_ls,361,True,114,72.36792685109104
